Facility_ID,Year,Infections_Reported,Infections_Predicted,Central_line_Days,State,HAI,Facility_Name,County,Hospital_Category_RiskAdjustment,Facility_Type,Comparison,Met_2020_Goal,Months,Notes,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,rate_per_1000,SIR_filled
110000007,2021,1.0,3.77,5186.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Santa Rosa Regional Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.01,1.31,0.19282684149633628,0.26525198938992045
110000007,2022,1.0,4.12,5059.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Santa Rosa Regional Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.01,1.2,0.19766752322593398,0.24271844660194175
110000007,2023,1.0,2.9,3545.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Santa Rosa Regional Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.02,1.7,0.2820874471086037,0.3448275862068966
110000008,2021,0.0,0.23,853.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Howard Memorial,Mendocino,Critical Access Hospital,Critical Access,Same,Yes,12.0,¥ See Data Dictionary,0.0,15.85,0.0,0.0
110000008,2022,0.0,0.21,779.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Howard Memorial,Mendocino,Critical Access Hospital,Critical Access,Same,Yes,12.0,¥ See Data Dictionary,0.0,17.36,0.0,0.0
110000008,2023,0.0,0.15,547.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Howard Memorial,Mendocino,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000009,2021,0.0,0.12,430.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Healdsburg Hospital,Sonoma,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000009,2022,0.0,0.19,713.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Healdsburg Hospital,Sonoma,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000009,2023,0.0,0.13,462.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Healdsburg Hospital,Sonoma,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000010,2021,1.0,5.83,8824.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Medical Center,Solano,Acute Care Hospital,"Community, 125-250 Beds",Better,Yes,12.0,,0.01,0.85,0.11332728921124206,0.17152658662092624
110000010,2022,3.0,5.83,8891.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Medical Center,Solano,Acute Care Hospital,"Community, 125-250 Beds",Same,No,12.0,,0.13,1.4,0.3374198627825891,0.5145797598627787
110000010,2023,0.0,5.51,8281.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Medical Center,Solano,Acute Care Hospital,"Community, 125-250 Beds",Better,Yes,12.0,,0.0,0.54,0.0,0.0
110000011,2021,4.0,5.739999999999999,5895.0,California,Central Line-Associated Bloodstream Infection (CLABSI),"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.23,1.74,0.6785411365564037,0.6968641114982579
110000011,2022,6.0,5.66,5958.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital & Rehab Center - Vallejo,Solano,Acute Care Hospital,Major Teaching,Same,No,12.0,¥ See Data Dictionary,0.45,2.29,1.0070493454179255,1.0600706713780919
